[-0.042774397879838943, -0.042359333485364914]
[-0.012253714725375175, -0.013982285745441914]
[-0.006580917164683342, -0.020822852849960327]
[-0.005530621390789747, -0.019009379670023918]
[-0.006137318909168243, -0.021670490503311157]
[-0.017019866034388542, -0.01989712193608284]
[-0.024736564606428146, -0.02801467664539814]
[-0.02621633931994438, -0.02974768355488777]
[-0.028559477999806404, -0.025802690535783768]
[-0.02615160308778286, -0.026493920013308525]
[-0.02545487880706787, -0.02624298632144928]
[-0.023389196023344994, -0.02980060502886772]
[-0.027049681171774864, -0.029837051406502724]
[-0.025928927585482597, -0.02656184695661068]
[-0.019849546253681183, -0.026993995532393456]
[-0.019298525527119637, -0.02307627536356449]
[-0.014366423711180687, -0.027529733255505562]
[-0.014522061683237553, -0.024642810225486755]
[-0.019229765981435776, -0.0252460315823555]
[-0.025891220197081566, -0.025861453264951706]
[-0.027371827512979507, -0.02316964790225029]
[-0.028584398329257965, -0.024927444756031036]
[-0.02709203213453293, -0.022752275690436363]
[-0.024677613750100136, -0.02499530464410782]
[-0.023450911045074463, -0.020988276228308678]
[-0.030007995665073395, -0.023096831515431404]
[-0.03063786029815674, -0.02481125108897686]
[-0.026774495840072632, -0.025029988959431648]
[-0.026362387463450432, -0.02590855024755001]
[-0.025363031774759293, -0.025695694610476494]
[-0.026671119034290314, -0.02697063982486725]
[-0.026490572839975357, -0.028701622039079666]
[-0.026073429733514786, -0.029538091272115707]
[-0.028391823172569275, -0.02628488466143608]
[-0.02575524151325226, -0.03007165528833866]
[-0.025568094104528427, -0.029519395902752876]
[-0.024957405403256416, -0.031155303120613098]
[-0.028390953317284584, -0.034067243337631226]
[-0.029180388897657394, -0.03427765890955925]
[-0.033522866666316986, -0.03659304231405258]
[-0.033098362386226654, -0.03736948221921921]
[-0.03315581753849983, -0.03793933242559433]
[-0.036038171499967575, -0.037623051553964615]
[-0.03580041974782944, -0.038161326199769974]
[-0.03639691323041916, -0.0385882742702961]
[-0.03678927943110466, -0.0382796935737133]
[-0.03842306137084961, -0.035093411803245544]
[-0.03854059427976608, -0.03687408193945885]
[-0.03873281553387642, -0.04096028208732605]
[-0.03935970366001129, -0.04194073751568794]
[-0.04129251465201378, -0.04032205417752266]
[-0.041686397045850754, -0.04181468486785889]
[-0.0444803461432457, -0.04131614416837692]
[-0.04165332764387131, -0.04370056092739105]
[-0.04453752189874649, -0.041012831032276154]
