[0.0014644805341959, 0.0015557488659396768]
[7.214256584120449e-06, 9.180807865050156e-07]
[3.620541804139066e-07, 2.0472627966228174e-06]
[1.9955183461206616e-07, 2.8154208848718554e-06]
[2.9788600386382313e-06, 3.2424268283648416e-06]
[1.291411422243982e-06, 2.14026408684731e-06]
[4.0857471503841225e-06, 1.0571402526693419e-06]
[7.625466423633043e-06, 1.7847008848548285e-06]
[1.5244339010678232e-05, 3.1060548622008355e-07]
[9.604574188415427e-06, 2.6855008172788075e-07]
[5.3251210374583025e-06, 3.6392845004229457e-07]
[1.046631223289296e-05, 1.5869827620917931e-06]
[1.0502745681151282e-05, 3.1404761102749035e-06]
[5.9377425714046694e-06, 4.214857654005755e-06]
[1.9676812371471897e-05, 1.1970590094279032e-05]
[1.2426629837136716e-05, 2.467437525410787e-06]
[1.2792099369107746e-05, 3.6572512271959567e-06]
[1.694193088042084e-05, 9.365326718580036e-07]
[1.407623949489789e-05, 4.2172014218522236e-06]
[1.947217788256239e-05, 1.2212394722155295e-06]
